budget,revenue,actor,director,runtime,genre,variance,profit
500000,150277,Angela Bettis,Lucky McKee,93,Drama,0.300554,-349723
500000,17000000,William Shatner,John 'Bud' Cardos,97,Horror,34,16500000
500000,3779620,Dorian Corey,Jennie Livingston,71,Documentary,7.55924,3279620
500000,376597,Mary Elizabeth Winstead,James Ponsoldt,85,Drama,0.753194,-123403
500000,603943,Rory Culkin,Jacob Aaron Estes,90,Crime,1.207886,103943
500000,4242978,Whitney Able,Gareth Edwards,94,Drama,8.485956,3742978
500000,1000000,Nicholas Hope,Daniel Krige,93,Thriller,2,500000
500000,15000000,Josh Hartnett,Brian Horiuchi,139,Science Fiction,30,14500000
500000,171760,Neil Maskell,Ben Wheatley,95,Horror,0.34352,-328240
500000,2500000,Anne Bancroft,Arthur Penn,106,Drama,5,2000000
500000,33456317,Kirk Cameron,Alex Kendrick,122,Drama,66.912634,32956317
500000,10166459,Jean-Claude Van Damme,Albert Pyun,86,Action,20.332918,9666459
550000,59754601,Betsy Palmer,Sean S. Cunningham,95,Horror,108.6447291,59204601
600000,7087452,Lily Tomlin,Paul Weitz,78,Drama,11.81242,6487452
600000,185898,Renée Zellweger,Kim Henkel,95,Comedy,0.30983,-414102
600000,4000000,John Simm,Justin Kerrigan,99,Comedy,6.666666667,3400000
645180,14743391,Daniel Day-Lewis,Jim Sheridan,103,Drama,22.85159335,14098211
650000,33245,Danielle Harris,Jim Mickle,98,Drama,0.05114615385,-616755
650000,55000000,David Emge,George A. Romero,127,Horror,84.61538462,54350000
700000,7830611,William Gates,Steve James,171,Documentary,11.18658714,7130611
700000,17986781,Shameik Moore,Rick Famuyiwa,103,Crime,25.69540143,17286781
700000,1667192,Paul Dano,Michael Cuesta,97,Drama,2.381702857,967192
700000,31576,Ellen Page,Bruce McDonald,77,Drama,0.04510857143,-668424
725000,10600000,Clint Eastwood,Clint Eastwood,102,Crime,14.62068966,9875000
750000,78396,Sara Paxton,Ti West,102,Horror,0.104528,-671604
750000,4007792,Aubrey Plaza,Colin Trevorrow,85,Comedy,5.343722667,3257792
777000,2437000,Robert Duvall,George Lucas,86,Drama,3.136422136,1660000
777000,115000000,Richard Dreyfuss,George Lucas,110,Comedy,148.005148,114223000
786675,861789,Michael Caton,Rob Sitch,85,Drama,1.095482887,75114
800000,867714,Gemma Arterton,J Blakeson,100,Crime,1.0846425,67714
800000,14000000,Peter Horton,Fritz Kiersch,93,Drama,17.5,13200000
806948,32000000,Anthony Perkins,Alfred Hitchcock,109,Drama,39.65559119,31193052
810000,1258000,Richard Chamberlain,Peter Weir,106,Drama,1.55308642,448000
818418,4851244,Stefano Accorsi,Michele Placido,152,Drama,5.927587125,4032826
850000,90000000,Bruce Lee,Robert Clouse,99,Crime,105.8823529,89150000
850000,1243961,Ari Graynor,Jamie Travis,85,Comedy,1.463483529,393961
850000,819939,Steve Sandvoss,C. Jay Cox,107,Drama,0.9646341176,-30061
860000,2451545,Gordon Warnecke,Stephen Frears,97,Drama,2.850633721,1591545
900000,2023414,Jeffrey Combs,Stuart Gordon,86,Science Fiction,2.248237778,1123414
900000,8556940,Warwick Davis,Mark Jones,92,Comedy,9.507711111,7656940
900000,381420,Elisha Cuthbert,Jamie Babbit,96,Drama,0.4238,-518580
900000,6980986,Terence Knox,David Price,92,Horror,7.756651111,6080986
930000,30905,Krysten Ritter,Kat Coiro,100,Comedy,0.0332311828,-899095
950000,814666,Cliff Robertson,Ralph Nelson,103,Drama,0.8575431579,-135334
950000,7022209,Patrick Wilson,David Slade,103,Drama,7.391798947,6072209
967686,4270000,Riz Ahmed,Chris Morris,101,Comedy,4.412588381,3302314
994000,165000,Aml Ameen,Menhaj Huda,89,Drama,0.1659959759,-829000
1000000,101758490,Fernanda Andrade,William Brent Bell,83,Thriller,101.75849,100758490
1000000,78868508,Nick Nolte,Walter Hill,96,Thriller,78.868508,77868508
1000000,26501323,Helen McCrory,Tom Harper,90,Thriller,26.501323,25501323
1000000,14796236,Leslie Nielsen,Paul Lynch,92,Horror,14.796236,13796236
1000000,1296971,Michael Cera,Nicholas Jasenovec,88,Comedy,1.296971,296971
1000000,332323,Kieran O'Brien,Michael Winterbottom,66,Drama,0.332323,-667677
1000000,14444999,Sally Field,Michael Showalter,95,Comedy,14.444999,13444999
1000000,3713768,John Hurt,Martin Rosen,88,Adventure,3.713768,2713768
1000000,35000000,Peter Liapis,Luca Bercovici,81,Comedy,35,34000000
1000000,62882090,Shelley Hennig,Levan Gabriadze,82,Horror,62.88209,61882090
1000000,9318,Rose Leslie,Leigh Janiak,87,Horror,0.009318,-990682
1000000,2963902,Lake Bell,Lake Bell,93,Comedy,2.963902,1963902
1000000,2000000,Warren Oates,John Milius,107,Action,2,1000000
1000000,51525171,Emilio Estevez,John Hughes,97,Comedy,51.525171,50525171
1000000,21378361,Adrienne Barbeau,John Carpenter,89,Horror,21.378361,20378361
1000000,17985893,Patrick Macnee,Joe Dante,91,Drama,17.985893,16985893
1000000,10047674,Julian Morris,Jeff Wadlow,90,Horror,10.047674,9047674
1000000,7202,Michael Rapaport,Hal Haberman,81,Drama,0.007202,-992798
1000000,27762648,John Jarratt,Greg McLean,99,Horror,27.762648,26762648
1000000,1744858,Ben Weber,Greg Berlanti,94,Comedy,1.744858,744858
1000000,13350369,Felicity Huffman,Duncan Tucker,103,Drama,13.350369,12350369
1000000,12355734,Ryan Gosling,Derek Cianfrance,112,Drama,12.355734,11355734
1000000,46243000,Al Gore,Davis Guggenheim,100,Documentary,46.243,45243000
1000000,14564027,Andrew Robinson,Clive Barker,94,Horror,14.564027,13564027
1000000,1678874,Martin Sheen,Chris Paine,92,Documentary,1.678874,678874
1000000,10013424,Jennifer Westfeldt,Charles Herman-Wurmfeld,97,Comedy,10.013424,9013424
1000000,24475416,Billy Bob Thornton,Billy Bob Thornton,135,Drama,24.475416,23475416
1000000,9138338,John Hawkes,Ben Lewin,98,Drama,9.138338,8138338
1000000,6933459,Kuei Ya-Lei,Ang Lee,109,Comedy,6.933459,5933459
1000000,395000,Sheila Vand,Ana Lily Amirpour,99,Horror,0.395,-605000
1000000,34522221,Alex Kendrick,Alex Kendrick,129,Drama,34.522221,33522221
1000000,274661,Brian Keith Allen,Alex Gibney,106,Documentary,0.274661,-725339
1000000,2554476,Christopher Walken,Abel Ferrara,103,Thriller,2.554476,1554476
1000000,2019469,Harvey Keitel,Abel Ferrara,96,Crime,2.019469,1019469
1052753,466088,Piolo Pascual,Erik Matti,120,Action,0.4427325308,-586665
1100000,59600000,Sean Connery,Terence Young,110,Adventure,54.18181818,58500000
1100000,631221,Kevin Gage,John Pieplow,86,Horror,0.5738372727,-468779
1100000,117235147,Sylvester Stallone,John G. Avildsen,119,Drama,106.5774064,116135147
1100000,5450815,Noah Hathaway,John Carl Buechler,82,Fantasy,4.955286364,4350815
1200000,760883,Randy Norton,Ralph Bakshi,81,Animation,0.6340691667,-439117
1200000,9000000,Bob Holt,Ralph Bakshi,80,Animation,7.5,7800000
1200000,14661007,Harvey Keitel,Quentin Tarantino,99,Crime,12.21750583,13461007
1200000,3109904,Cathy Podewell,Kevin Tenney,90,Horror,2.591586667,1909904
1200000,4978922,David Byrne,Jonathan Demme,88,Documentary,4.149101667,3778922
1200000,71215869,Bob Newhart,John Lounsbery,78,Fantasy,59.3465575,70015869
1200000,112892319,Tim Curry,Jim Sharman,100,Comedy,94.0769325,111692319
1200000,103911669,Cary Elwes,James Wan,103,Horror,86.5930575,102711669
1200000,2861020,Scott Elrod,David Boyd,114,Drama,2.384183333,1661020
1250000,21722776,Amy Steel,Steve Miner,87,Horror,17.3782208,20472776
1250000,3412497,John Heard,Douglas Cheek,88,Horror,2.7299976,2162497
1300000,72266306,Barry Newman,Richard C. Sarafian,99,Action,55.58946615,70966306
1300000,354704,Viggo Mortensen,Renny Harlin,102,Crime,0.2728492308,-945296
1300000,29133000,Timothy Bottoms,Peter Bogdanovich,118,Drama,22.41,27833000
1300000,28262574,Robert De Niro,Martin Scorsese,113,Crime,21.74044154,26962574
1300000,447741,James Ransone,Larry Clark,97,Drama,0.3444161538,-852259
1350000,3897569,Jason Flemyng,Guy Ritchie,105,Comedy,2.887088148,2547569
1500000,2375097,Vincent Gallo,Vincent Gallo,110,Romance,1.583398,875097
1500000,418961,Eric Stoltz,Roger Avary,96,Action,0.2793073333,-1081039
1500000,1165882,Sheri Moon Zombie,Rob Zombie,101,Horror,0.7772546667,-334118
1500000,5728953,Dylan McDermott,Richard Stanley,93,Horror,3.819302,4228953
1500000,712294,Daniel Day-Lewis,Rebecca Miller,111,Drama,0.4748626667,-787706
1500000,11098131,Jeff Daniels,Noah Baumbach,81,Comedy,7.398754,9598131
1500000,11806119,Jean-Claude Van Damme,Newt Arnold,92,Action,7.870746,10306119
1500000,14697005,Jean-Claude Van Damme,Mark DiSalle,97,Action,9.798003333,13197005
1500000,3566225,Aubrey Plaza,Maggie Carey,104,Comedy,2.377483333,2066225
1500000,7412216,Leo Fitzpatrick,Larry Clark,91,Drama,4.941477333,5912216
1500000,97009150,Patrick Wilson,James Wan,103,Horror,64.67276667,95509150
1500000,416925,Ryan Gosling,Henry Bean,98,Drama,0.27795,-1083075
1500000,30553394,Rider Strong,Eli Roth,93,Horror,20.36892933,29053394
1500000,56000,Deborra-Lee Furness,Dean O'Flaherty,97,Drama,0.03733333333,-1444000
1500000,870751,Chris Stafford,David Moreton,99,Comedy,0.5805006667,-629249
1500000,173066,Bruce Campbell,Bruce Campbell,86,Comedy,0.1153773333,-1326934
1500000,373967,Peter Mullan,Brad Anderson,100,Horror,0.2493113333,-1126033
1500000,2300000,Harry Dean Stanton,Alex Cox,92,Comedy,1.533333333,800000
1549000,7096000,Jay Chou,Andrew Lau,107,Action,4.581020013,5547000
1600000,4420000,Gene Hackman,Francis Ford Coppola,113,Crime,2.7625,2820000
1700000,1007962,Sasha Grey,Steven Soderbergh,77,Comedy,0.5929188235,-692038
1700000,1943649,Steve Zahn,Mark Illsley,98,Comedy,1.143322941,243649
1700000,8844595,Roddy McDowall,J. Lee Thompson,93,Action,5.202702941,7144595
1746964,2181987,Harry Dean Stanton,Wim Wenders,147,Drama,1.24901658,435023
1750000,100000,Stacy Keach,Richard Franklin,101,Thriller,0.05714285714,-1650000
1800000,41158757,Gene Hackman,William Friedkin,104,Action,22.86597611,39358757
1800000,25504513,John Saxon,Wes Craven,91,Horror,14.16917389,23704513
1800000,6800000,Clint Eastwood,Ted Post,114,Western,3.777777778,5000000
1800000,31623833,Patrick Dempsey,Steve Rash,94,Drama,17.56879611,29823833
1800000,9440272,Peter Sellers,Stanley Kubrick,95,Drama,5.244595556,7640272
1800000,46665856,Al Pacino,Sidney Lumet,125,Crime,25.92547556,44865856
1800000,9700000,Roddy McDowall,J. Lee Thompson,88,Action,5.388888889,7900000
1800000,67738090,Ashley Bell,Daniel Stamm,87,Horror,37.63227222,65938090
1800000,33800000,Sissy Spacek,Brian De Palma,98,Horror,18.77777778,32000000
1800000,21107746,Quvenzhané Wallis,Benh Zeitlin,93,Drama,11.72652556,19307746
1880006,26713187,Goldie Hawn,Garry Marshall,106,Comedy,14.20909667,24833181
1900000,4790926,Chris Makepeace,Richard Wenk,93,Comedy,2.52154,2890926
1987650,19152480,Ryan Reynolds,Rodrigo Cortés,94,Drama,9.635740699,17164830
2000000,18344729,Woody Allen,Woody Allen,89,Science Fiction,9.1723645,16344729
2000000,18016290,Woody Allen,Woody Allen,88,Comedy,9.008145,16016290
2000000,2506446,David Duchovny,Steven Soderbergh,96,Comedy,1.253223,506446
2000000,572809,Sarah Butler,Steven R. Monroe,108,Thriller,0.2864045,-1427191
2000000,4635300,Tom Hardy,Steven Knight,85,Drama,2.31765,2635300
2000000,48390,Samantha Morton,Steven Bernstein,91,Drama,0.024195,-1951610
2000000,13167232,Dee Wallace,Stephen Herek,82,Comedy,6.583616,11167232
2000000,45431,Christina Hendricks,Ryan Gosling,95,Fantasy,0.0227155,-1954569
2000000,300000,Crusoe Kurddal,Rolf de Heer,90,Adventure,0.15,-1700000
2000000,2260622,Warwick Davis,Rodman Flender,85,Comedy,1.130311,260622
2000000,13129846,Gregory Peck,Robert Mulligan,129,Crime,6.564923,11129846
2000000,725131,Nicolas Cage,Robert Bierman,103,Comedy,0.3625655,-1274869
2000000,27379978,Sidney Poitier,Norman Jewison,109,Crime,13.689989,25379978
2000000,42070,Matthias Schoenaerts,Michaël R. Roskam,124,Crime,0.021035,-1957930
2000000,120620,Paul Kaye,Michael Dowse,90,Drama,0.06031,-1879380
2000000,1568749,Ethan Hawke,Michael Almereyda,112,Drama,0.7843745,-431251
2000000,1477002,Bel Powley,Marielle Heller,102,Drama,0.738501,-522998
2000000,622806,Maggie Gyllenhaal,Laurie Collyer,96,Drama,0.311403,-1377194
2000000,124494,Jeffrey Falcon,Lance Mungia,91,Action,0.062247,-1875506
2000000,11540607,Hilary Swank,Kimberly Peirce,118,Crime,5.7703035,9540607
2000000,4905000,Yul Brynner,John Sturges,128,Action,2.4525,2905000
2000000,5048693,Guy Pearce,John Hillcoat,104,Action,2.5243465,3048693
2000000,5179037,Sook-Yin Lee,John Cameron Mitchell,101,Romance,2.5895185,3179037
2000000,46122355,Jon Voight,John Boorman,109,Drama,23.0611775,44122355
2000000,11000000,Richard Thomas,Jimmy T. Murakami,104,Science Fiction,5.5,9000000
2000000,2801508,Kate Mara,Jerry Jameson,97,Crime,1.400754,801508
2000000,6676471,Essie Davis,Jennifer Kent,93,Drama,3.3382355,4676471
2000000,24600832,Mel Gibson,George Miller,95,Adventure,12.300416,22600832
2000000,5364858,Michelle Morgan,George A. Romero,95,Horror,2.682429,3364858
2000000,653621,Dennis Hopper,Fenton Bailey,92,Documentary,0.3268105,-1346379
2000000,13831503,Jennifer Lawrence,Debra Granik,100,Drama,6.9157515,11831503
2000000,13500000,Maika Monroe,David Robert Mitchell,100,Thriller,6.75,11500000
2000000,14400000,Kristen Bell,David Palmer,100,Action,7.2,12400000
2000000,5967038,Christian Bale,David Ayer,120,Crime,2.983519,3967038
2000000,13101672,Elizabeth Olsen,Chris Kentis,85,Horror,6.550836,11101672
2000000,1431623,Campbell Scott,Charles Ferguson,102,Documentary,0.7158115,-568377
2000000,7871522,Matt Damon,Charles Ferguson,109,Documentary,3.935761,5871522
2000000,4601043,Evan Rachel Wood,Catherine Hardwicke,100,Drama,2.3005215,2601043
2000000,54207,Melinda Clarke,Brian Yuzna,97,Horror,0.0271035,-1945793
2000000,11125849,Ari Folman,Ari Folman,90,Drama,5.5629245,9125849
2000000,38135878,Konstantin Khabenskiy,Andrey Kravchuk,123,Action,19.067939,36135878
2000000,7306,Jon Hamm,Anders Anderson,97,Crime,0.003653,-1992694
2000000,7900000,Barbara Harris,Alfred Hitchcock,121,Comedy,3.95,5900000
2000000,22179430,Keri Russell,Adrienne Shelly,108,Comedy,11.089715,20179430
2079000,4099000,Aamir Khan,Farhan Akhtar,183,Drama,1.971620972,2020000
2135161,7000000,Tippi Hedren,Alfred Hitchcock,130,Crime,3.278441298,4864839
2200000,26589000,Malcolm McDowell,Stanley Kubrick,136,Science Fiction,12.08590909,24389000
2200000,3251794,Dustin Hoffman,Sam Peckinpah,118,Crime,1.478088182,1051794
2200000,21930418,Melanie Kinnaman,Danny Steinmann,92,Horror,9.968371818,19730418
2200000,136400000,Ali MacGraw,Arthur Hiller,99,Drama,62,134200000
2300000,20000000,Dennis Quaid,Peter Yates,100,Drama,8.695652174,17700000
2300000,35000000,Brad Davis,Alan Parker,121,Drama,15.2173913,32700000
2300000,11100000,Imran Khan,Abbas Tyrewala,155,Drama,4.826086957,8800000
2380000,8176544,Thomas Turgoose,Shane Meadows,101,Drama,3.435522689,5796544
2400000,88273,Aubrey Plaza,Jeff Baena,90,Romance,0.03678041667,-2311727
2410000,10755447,Chuck Norris,Lance Hool,100,Action,4.462841079,8345447
2500000,26781723,Zach Braff,Zach Braff,102,Comedy,10.7126892,24281723
2500000,14400000,Tom Atkins,Tommy Lee Wallace,96,Horror,5.76,11900000
2500000,78898765,Sean Connery,Terence Young,115,Action,31.559506,76398765
2500000,3003,Ashley Hinshaw,Stephen Elliott,102,Drama,0.0012012,-2496997
2500000,25533818,Jamie Lee Curtis,Rick Rosenthal,92,Horror,10.2135272,23033818
2500000,5535405,Ethan Hawke,Richard Linklater,105,Drama,2.214162,3035405
2500000,26386000,Christopher Reid,Reginald Hudlin,100,Comedy,10.5544,23886000
2500000,60141683,Marlon Wayans,Michael Tiddes,86,Comedy,24.0566732,57641683
2500000,1189315,Amanda Donohoe,Ken Russell,93,Comedy,0.475726,-1310685
2500000,352810,Mira Sorvino,Jon Gunn,100,Drama,0.141124,-2147190
2500000,6854611,Miles Teller,James Ponsoldt,95,Comedy,2.7418444,4354611
2500000,324138,Rainn Wilson,James Gunn,96,Comedy,0.1296552,-2175862
2500000,3325038,Frank Langella,Jake Schreier,85,Science Fiction,1.3300152,825038
2500000,4729352,Matt Dillon,Gus Van Sant,100,Crime,1.8917408,2229352
2500000,3358,Tomer Sisley,Frédéric Jardin,98,Action,0.0013432,-2496642
2500000,205068,Patty Mullen,Frank Henenlotter,85,Comedy,0.0820272,-2294932
2500000,5214043,Keanu Reeves,Eli Roth,99,Drama,2.0856172,2714043
2500000,12348905,Roddy McDowall,Don Taylor,98,Action,4.939562,9848905
2500000,9500000,Audrey Hepburn,Blake Edwards,110,Comedy,3.8,7000000
2500000,50700000,Warren Beatty,Arthur Penn,111,Crime,20.28,48200000
2500000,11403529,Tippi Hedren,Alfred Hitchcock,119,Horror,4.5614116,8903529
2500000,107559,Leonor Varela,Alex Rivera,90,Drama,0.0430236,-2392441
2500000,52604,Danielle Harris,Adam Green,89,Horror,0.0210416,-2447396
2550000,22812411,Chuck Norris,Joseph Zito,101,Action,8.946043529,20262411
2600000,3166000,Jeff Clark,Stacy Peralta,105,Documentary,1.217692308,566000
2600000,119500000,Cleavon Little,Mel Brooks,93,Comedy,45.96153846,116900000
2600000,1479042,Stefania Rocca,Dario Argento,103,Horror,0.5688623077,-1120958
2650000,3100000,Burt Lancaster,John Frankenheimer,143,Drama,1.169811321,450000
2700000,5000000,Charles Bronson,Walter Hill,93,Drama,1.851851852,2300000
2700000,15992615,Ethan Hawke,Richard Linklater,80,Drama,5.923190741,13292615
2700000,3500000,Charlie Sheen,Mike Marvin,93,Romance,1.296296296,800000
2700000,141000000,John Belushi,John Landis,109,Comedy,52.22222222,138300000
2700000,37799643,Kelly Reno,Carroll Ballard,118,Adventure,13.99986778,35099643
2800000,60922980,Gregory Peck,Richard Donner,111,Horror,21.75820714,58122980
2800000,86273333,Gene Wilder,Mel Brooks,106,Comedy,30.81190464,83473333
2800000,1826705,Michael Parks,Kevin Smith,102,Comedy,0.6523946429,-973295
2800000,19170001,Kane Hodder,John Carl Buechler,88,Horror,6.846428929,16370001
2800000,26279000,Sylvia Kristel,Alan Myerson,87,Romance,9.385357143,23479000
2840000,11620000,Sridevi Kapoor,Gauri Shinde,133,Drama,4.091549296,8780000
2900000,296557,Michael Jai White,Scott Sanders,90,Action,0.1022610345,-2603443
2900000,74918,Luke Evans,Ryûhei Kitamura,86,Horror,0.0258337931,-2825082
2900000,5000000,Glenn Ford,Frank Capra,136,Comedy,1.724137931,2100000
2962051,3011195,Jeffrey Wright,Julian Schnabel,108,Drama,1.016591207,49144
3000000,22000,Lauren German,Xavier Gens,112,Science Fiction,0.007333333333,-2978000
3000000,3387000,Maria Bello,Will Canon,83,Thriller,1.129,387000
3000000,19472057,Thom Mathews,Tom McLoughlin,86,Horror,6.490685667,16472057
3000000,2807390,Jane Adams,Todd Solondz,139,Comedy,0.9357966667,-192610
3000000,177512032,Katie Featherston,Tod Williams,91,Horror,59.17067733,174512032
3000000,14418922,Catherine Mary Stewart,Thom Eberhardt,95,Action,4.806307333,11418922
3000000,18999718,James Franciscus,Ted Post,95,Adventure,6.333239333,15999718
3000000,16217773,Paul Newman,Stuart Rosenberg,126,Crime,5.405924333,13217773
3000000,12800000,Goldie Hawn,Steven Spielberg,110,Action,4.266666667,9800000
3000000,1145404,Anthony Edwards,Steve De Jarnatt,87,Science Fiction,0.3818013333,-1854596
3000000,10000000,Spencer Tracy,Stanley Kramer,186,Drama,3.333333333,7000000
3000000,29800000,Al Pacino,Sidney Lumet,129,Crime,9.933333333,26800000
3000000,18097,Carla Gugino,Sebastian Gutierrez,92,Comedy,0.006032333333,-2981903
3000000,77712439,Ethan Hawke,Scott Derrickson,110,Horror,25.90414633,74712439
3000000,18637690,Ryan Reynolds,Rob McKittrick,94,Comedy,6.212563333,15637690
3000000,11176469,Ethan Hawke,Richard Linklater,108,Romance,3.725489667,8176469
3000000,242623,Tim Balme,Peter Jackson,104,Horror,0.08087433333,-2757377
3000000,222559,Philip Baker Hall,Paul Thomas Anderson,96,Drama,0.07418633333,-2777441
3000000,2503829,Charles Berling,Patrice Leconte,102,Comedy,0.8346096667,-496171
3000000,15119639,Toni Collette,P.J. Hogan,106,Drama,5.039879667,12119639
3000000,4109095,Indira Varma,Mira Nair,117,Drama,1.369698333,1109095
3000000,108981275,Jack Nicholson,Miloš Forman,133,Drama,36.32709167,105981275
3000000,104397102,Anne Bancroft,Mike Nichols,106,Comedy,34.799034,101397102
3000000,11718595,Dave Chappelle,Michel Gondry,100,Comedy,3.906198333,8718595
3000000,22000000,Charles Bronson,Michael Winner,93,Action,7.333333333,19000000
3000000,4000000,Gene Wilder,Mel Stuart,100,Family,1.333333333,1000000
3000000,11947954,Kirsten Dunst,Leslye Headland,87,Comedy,3.982651333,8947954
3000000,23509382,Jim Varney,John R. Cherry III,92,Comedy,7.836460667,20509382
3000000,12000000,Richard Burton,John Huston,125,Drama,4,9000000
3000000,2037545,Mark Ruffalo,John Curran,101,Drama,0.6791816667,-962455
3000000,14182492,Donald Pleasence,John Carpenter,101,Horror,4.727497333,11182492
3000000,18492362,Jay Chandrasekhar,Jay Chandrasekhar,100,Comedy,6.164120667,15492362
3000000,672648,Rutger Hauer,Jason Eisener,86,Action,0.224216,-2327352
3000000,20966644,Maggie Smith,James Ivory,117,Drama,6.988881333,17966644
3000000,89328627,Lena Headey,James DeMonaco,86,Science Fiction,29.776209,86328627
3000000,47000000,Charlton Heston,Jack Smight,107,Action,15.66666667,44000000
3000000,29999213,Robert Englund,Jack Sholder,87,Horror,9.999737667,26999213
3000000,10012022,Alex Frost,Gus Van Sant,81,Drama,3.337340667,7012022
3000000,9879971,Presley Chweneyagae,Gavin Hood,94,Crime,3.293323667,6879971
3000000,695269,Karl Glusman,Gaspar Noé,134,Drama,0.2317563333,-2304731
3000000,216166,James Farentino,Gary Sherman,94,Horror,0.07205533333,-2783834
3000000,7100000,Jerry Lewis,Frank Tashlin,91,Comedy,2.366666667,4100000
3000000,5923000,DMX,Ernest R. Dickerson,88,Action,1.974333333,2923000
