budget,revenue,actor,director,runtime,genre,profit
1300000,354704,Viggo Mortensen,Renny Harlin,102,Crime,-945296
1300000,72266306,Barry Newman,Richard C. Sarafian,99,Action,70966306
1350000,3897569,Jason Flemyng,Guy Ritchie,105,Comedy,2547569
1500000,2300000,Harry Dean Stanton,Alex Cox,92,Comedy,800000
1500000,373967,Peter Mullan,Brad Anderson,100,Horror,-1126033
1500000,173066,Bruce Campbell,Bruce Campbell,86,Comedy,-1326934
1500000,870751,Chris Stafford,David Moreton,99,Comedy,-629249
1500000,56000,Deborra-Lee Furness,Dean O'Flaherty,97,Drama,-1444000
1500000,30553394,Rider Strong,Eli Roth,93,Horror,29053394
1500000,416925,Ryan Gosling,Henry Bean,98,Drama,-1083075
1500000,97009150,Patrick Wilson,James Wan,103,Horror,95509150
1500000,7412216,Leo Fitzpatrick,Larry Clark,91,Drama,5912216
1500000,3566225,Aubrey Plaza,Maggie Carey,104,Comedy,2066225
1500000,14697005,Jean-Claude Van Damme,Mark DiSalle,97,Action,13197005
1500000,11806119,Jean-Claude Van Damme,Newt Arnold,92,Action,10306119
1500000,11098131,Jeff Daniels,Noah Baumbach,81,Comedy,9598131
1500000,712294,Daniel Day-Lewis,Rebecca Miller,111,Drama,-787706
1500000,5728953,Dylan McDermott,Richard Stanley,93,Horror,4228953
1500000,1165882,Sheri Moon Zombie,Rob Zombie,101,Horror,-334118
1500000,418961,Eric Stoltz,Roger Avary,96,Action,-1081039
1500000,2375097,Vincent Gallo,Vincent Gallo,110,Romance,875097
1549000,7096000,Jay Chou,Andrew Lau,107,Action,5547000
1600000,4420000,Gene Hackman,Francis Ford Coppola,113,Crime,2820000
1700000,8844595,Roddy McDowall,J. Lee Thompson,93,Action,7144595
1700000,1943649,Steve Zahn,Mark Illsley,98,Comedy,243649
1700000,1007962,Sasha Grey,Steven Soderbergh,77,Comedy,-692038
1746964,2181987,Harry Dean Stanton,Wim Wenders,147,Drama,435023
1750000,100000,Stacy Keach,Richard Franklin,101,Thriller,-1650000
1800000,21107746,Quvenzhané Wallis,Benh Zeitlin,93,Drama,19307746
1800000,33800000,Sissy Spacek,Brian De Palma,98,Horror,32000000
1800000,67738090,Ashley Bell,Daniel Stamm,87,Horror,65938090
1800000,9700000,Roddy McDowall,J. Lee Thompson,88,Action,7900000
1800000,46665856,Al Pacino,Sidney Lumet,125,Crime,44865856
1800000,9440272,Peter Sellers,Stanley Kubrick,95,Drama,7640272
1800000,31623833,Patrick Dempsey,Steve Rash,94,Drama,29823833
1800000,6800000,Clint Eastwood,Ted Post,114,Western,5000000
1800000,25504513,John Saxon,Wes Craven,91,Horror,23704513
1800000,41158757,Gene Hackman,William Friedkin,104,Action,39358757
1880006,26713187,Goldie Hawn,Garry Marshall,106,Comedy,24833181
1900000,4790926,Chris Makepeace,Richard Wenk,93,Comedy,2890926
1987650,19152480,Ryan Reynolds,Rodrigo Cortés,94,Drama,17164830
2000000,22179430,Keri Russell,Adrienne Shelly,108,Comedy,20179430
2000000,7900000,Barbara Harris,Alfred Hitchcock,121,Comedy,5900000
2000000,7306,Jon Hamm,Anders Anderson,97,Crime,-1992694
2000000,38135878,Konstantin Khabenskiy,Andrey Kravchuk,123,Action,36135878
2000000,11125849,Ari Folman,Ari Folman,90,Drama,9125849
2000000,54207,Melinda Clarke,Brian Yuzna,97,Horror,-1945793
2000000,4601043,Evan Rachel Wood,Catherine Hardwicke,100,Drama,2601043
2000000,1431623,Campbell Scott,Charles Ferguson,102,Documentary,-568377
2000000,7871522,Matt Damon,Charles Ferguson,109,Documentary,5871522
2000000,13101672,Elizabeth Olsen,Chris Kentis,85,Horror,11101672
2000000,5967038,Christian Bale,David Ayer,120,Crime,3967038
2000000,14400000,Kristen Bell,David Palmer,100,Action,12400000
2000000,13500000,Maika Monroe,David Robert Mitchell,100,Thriller,11500000
2000000,13831503,Jennifer Lawrence,Debra Granik,100,Drama,11831503
2000000,653621,Dennis Hopper,Fenton Bailey,92,Documentary,-1346379
2000000,5364858,Michelle Morgan,George A. Romero,95,Horror,3364858
2000000,24600832,Mel Gibson,George Miller,95,Adventure,22600832
2000000,6676471,Essie Davis,Jennifer Kent,93,Drama,4676471
2000000,2801508,Kate Mara,Jerry Jameson,97,Crime,801508
2000000,11000000,Richard Thomas,Jimmy T. Murakami,104,Science Fiction,9000000
2000000,46122355,Jon Voight,John Boorman,109,Drama,44122355
2000000,5179037,Sook-Yin Lee,John Cameron Mitchell,101,Romance,3179037
2000000,5048693,Guy Pearce,John Hillcoat,104,Action,3048693
2000000,4905000,Yul Brynner,John Sturges,128,Action,2905000
2000000,11540607,Hilary Swank,Kimberly Peirce,118,Crime,9540607
2000000,124494,Jeffrey Falcon,Lance Mungia,91,Action,-1875506
2000000,622806,Maggie Gyllenhaal,Laurie Collyer,96,Drama,-1377194
2000000,1477002,Bel Powley,Marielle Heller,102,Drama,-522998
2000000,1568749,Ethan Hawke,Michael Almereyda,112,Drama,-431251
2000000,120620,Paul Kaye,Michael Dowse,90,Drama,-1879380
2000000,42070,Matthias Schoenaerts,Michaël R. Roskam,124,Crime,-1957930
2000000,27379978,Sidney Poitier,Norman Jewison,109,Crime,25379978
2000000,725131,Nicolas Cage,Robert Bierman,103,Comedy,-1274869
2000000,13129846,Gregory Peck,Robert Mulligan,129,Crime,11129846
2000000,2260622,Warwick Davis,Rodman Flender,85,Comedy,260622
2000000,300000,Crusoe Kurddal,Rolf de Heer,90,Adventure,-1700000
2000000,45431,Christina Hendricks,Ryan Gosling,95,Fantasy,-1954569
2000000,13167232,Dee Wallace,Stephen Herek,82,Comedy,11167232
2000000,48390,Samantha Morton,Steven Bernstein,91,Drama,-1951610
2000000,4635300,Tom Hardy,Steven Knight,85,Drama,2635300
2000000,572809,Sarah Butler,Steven R. Monroe,108,Thriller,-1427191
2000000,2506446,David Duchovny,Steven Soderbergh,96,Comedy,506446
2000000,18344729,Woody Allen,Woody Allen,89,Science Fiction,16344729
2000000,18016290,Woody Allen,Woody Allen,88,Comedy,16016290
2079000,4099000,Aamir Khan,Farhan Akhtar,183,Drama,2020000
2135161,7000000,Tippi Hedren,Alfred Hitchcock,130,Crime,4864839
2200000,136400000,Ali MacGraw,Arthur Hiller,99,Drama,134200000
2200000,21930418,Melanie Kinnaman,Danny Steinmann,92,Horror,19730418
2200000,3251794,Dustin Hoffman,Sam Peckinpah,118,Crime,1051794
2200000,26589000,Malcolm McDowell,Stanley Kubrick,136,Science Fiction,24389000
2300000,11100000,Imran Khan,Abbas Tyrewala,155,Drama,8800000
2300000,35000000,Brad Davis,Alan Parker,121,Drama,32700000
2300000,20000000,Dennis Quaid,Peter Yates,100,Drama,17700000
2380000,8176544,Thomas Turgoose,Shane Meadows,101,Drama,5796544
2400000,88273,Aubrey Plaza,Jeff Baena,90,Romance,-2311727
2410000,10755447,Chuck Norris,Lance Hool,100,Action,8345447
2500000,52604,Danielle Harris,Adam Green,89,Horror,-2447396
2500000,107559,Leonor Varela,Alex Rivera,90,Drama,-2392441
2500000,11403529,Tippi Hedren,Alfred Hitchcock,119,Horror,8903529
2500000,50700000,Warren Beatty,Arthur Penn,111,Crime,48200000
2500000,9500000,Audrey Hepburn,Blake Edwards,110,Comedy,7000000
2500000,12348905,Roddy McDowall,Don Taylor,98,Action,9848905
2500000,5214043,Keanu Reeves,Eli Roth,99,Drama,2714043
2500000,205068,Patty Mullen,Frank Henenlotter,85,Comedy,-2294932
2500000,3358,Tomer Sisley,Frédéric Jardin,98,Action,-2496642
2500000,4729352,Matt Dillon,Gus Van Sant,100,Crime,2229352
2500000,3325038,Frank Langella,Jake Schreier,85,Science Fiction,825038
2500000,324138,Rainn Wilson,James Gunn,96,Comedy,-2175862
2500000,6854611,Miles Teller,James Ponsoldt,95,Comedy,4354611
2500000,352810,Mira Sorvino,Jon Gunn,100,Drama,-2147190
2500000,1189315,Amanda Donohoe,Ken Russell,93,Comedy,-1310685
2500000,60141683,Marlon Wayans,Michael Tiddes,86,Comedy,57641683
2500000,26386000,Christopher Reid,Reginald Hudlin,100,Comedy,23886000
2500000,5535405,Ethan Hawke,Richard Linklater,105,Drama,3035405
2500000,25533818,Jamie Lee Curtis,Rick Rosenthal,92,Horror,23033818
2500000,3003,Ashley Hinshaw,Stephen Elliott,102,Drama,-2496997
2500000,78898765,Sean Connery,Terence Young,115,Action,76398765
2500000,14400000,Tom Atkins,Tommy Lee Wallace,96,Horror,11900000
2500000,26781723,Zach Braff,Zach Braff,102,Comedy,24281723
2550000,22812411,Chuck Norris,Joseph Zito,101,Action,20262411
2600000,1479042,Stefania Rocca,Dario Argento,103,Horror,-1120958
2600000,119500000,Cleavon Little,Mel Brooks,93,Comedy,116900000
2600000,3166000,Jeff Clark,Stacy Peralta,105,Documentary,566000
2650000,3100000,Burt Lancaster,John Frankenheimer,143,Drama,450000
2700000,37799643,Kelly Reno,Carroll Ballard,118,Adventure,35099643
2700000,141000000,John Belushi,John Landis,109,Comedy,138300000
2700000,3500000,Charlie Sheen,Mike Marvin,93,Romance,800000
2700000,15992615,Ethan Hawke,Richard Linklater,80,Drama,13292615
2700000,5000000,Charles Bronson,Walter Hill,93,Drama,2300000
2800000,26279000,Sylvia Kristel,Alan Myerson,87,Romance,23479000
2800000,19170001,Kane Hodder,John Carl Buechler,88,Horror,16370001
2800000,1826705,Michael Parks,Kevin Smith,102,Comedy,-973295
2800000,86273333,Gene Wilder,Mel Brooks,106,Comedy,83473333
2800000,60922980,Gregory Peck,Richard Donner,111,Horror,58122980
2840000,11620000,Sridevi Kapoor,Gauri Shinde,133,Drama,8780000
2900000,5000000,Glenn Ford,Frank Capra,136,Comedy,2100000
2900000,74918,Luke Evans,Ryûhei Kitamura,86,Horror,-2825082
2900000,296557,Michael Jai White,Scott Sanders,90,Action,-2603443
2962051,3011195,Jeffrey Wright,Julian Schnabel,108,Drama,49144
3000000,67790117,Priscilla C. Shirer,Alex Kendrick,120,Drama,64790117
3000000,153155,Laura Dern,Alexander Payne,104,Drama,-2846845
3000000,13000000,Paul Newman,Alfred Hitchcock,128,Mystery,10000000
3000000,2357852,Katie Jarvis,Andrea Arnold,123,Drama,-642148
3000000,1675381,Clancy Brown,Anthony Leonardi III,100,Horror,-1324619
3000000,3221568,Mickey Rourke,Barbet Schroeder,100,Comedy,221568
3000000,33946224,Paul Mercurio,Baz Luhrmann,94,Comedy,30946224
3000000,25000000,Jack Lemmon,Billy Wilder,125,Comedy,22000000
3000000,4000000,James Cagney,Billy Wilder,115,Comedy,1000000
3000000,21000000,Alan Young,Burny Mattinson,26,Family,18000000
3000000,23144499,Kevin Zegers,Charles Martin Smith,98,Comedy,20144499
3000000,3830137,Anjelica Huston,Clark Gregg,92,Comedy,830137
3000000,3076820,Rose McGowan,Darren Stein,87,Comedy,76820
3000000,3010,Alice Eve,David Brooks,90,Horror,-2996990
3000000,7282851,James Le Gros,Don Coscarelli,97,Action,4282851
3000000,5923000,DMX,Ernest R. Dickerson,88,Action,2923000
3000000,7100000,Jerry Lewis,Frank Tashlin,91,Comedy,4100000
3000000,216166,James Farentino,Gary Sherman,94,Horror,-2783834
3000000,695269,Karl Glusman,Gaspar Noé,134,Drama,-2304731
3000000,9879971,Presley Chweneyagae,Gavin Hood,94,Crime,6879971
3000000,10012022,Alex Frost,Gus Van Sant,81,Drama,7012022
3000000,29999213,Robert Englund,Jack Sholder,87,Horror,26999213
3000000,47000000,Charlton Heston,Jack Smight,107,Action,44000000
3000000,89328627,Lena Headey,James DeMonaco,86,Science Fiction,86328627
3000000,20966644,Maggie Smith,James Ivory,117,Drama,17966644
3000000,672648,Rutger Hauer,Jason Eisener,86,Action,-2327352
3000000,18492362,Jay Chandrasekhar,Jay Chandrasekhar,100,Comedy,15492362
3000000,14182492,Donald Pleasence,John Carpenter,101,Horror,11182492
3000000,2037545,Mark Ruffalo,John Curran,101,Drama,-962455
3000000,12000000,Richard Burton,John Huston,125,Drama,9000000
3000000,23509382,Jim Varney,John R. Cherry III,92,Comedy,20509382
3000000,11947954,Kirsten Dunst,Leslye Headland,87,Comedy,8947954
3000000,4000000,Gene Wilder,Mel Stuart,100,Family,1000000
3000000,22000000,Charles Bronson,Michael Winner,93,Action,19000000
3000000,11718595,Dave Chappelle,Michel Gondry,100,Comedy,8718595
3000000,104397102,Anne Bancroft,Mike Nichols,106,Comedy,101397102
3000000,108981275,Jack Nicholson,Miloš Forman,133,Drama,105981275
3000000,4109095,Indira Varma,Mira Nair,117,Drama,1109095
3000000,15119639,Toni Collette,P.J. Hogan,106,Drama,12119639
3000000,2503829,Charles Berling,Patrice Leconte,102,Comedy,-496171
3000000,222559,Philip Baker Hall,Paul Thomas Anderson,96,Drama,-2777441
3000000,242623,Tim Balme,Peter Jackson,104,Horror,-2757377
3000000,11176469,Ethan Hawke,Richard Linklater,108,Romance,8176469
3000000,18637690,Ryan Reynolds,Rob McKittrick,94,Comedy,15637690
3000000,77712439,Ethan Hawke,Scott Derrickson,110,Horror,74712439
3000000,18097,Carla Gugino,Sebastian Gutierrez,92,Comedy,-2981903
3000000,29800000,Al Pacino,Sidney Lumet,129,Crime,26800000
3000000,10000000,Spencer Tracy,Stanley Kramer,186,Drama,7000000
3000000,1145404,Anthony Edwards,Steve De Jarnatt,87,Science Fiction,-1854596
3000000,12800000,Goldie Hawn,Steven Spielberg,110,Action,9800000
3000000,16217773,Paul Newman,Stuart Rosenberg,126,Crime,13217773
3000000,18999718,James Franciscus,Ted Post,95,Adventure,15999718
3000000,14418922,Catherine Mary Stewart,Thom Eberhardt,95,Action,11418922
3000000,177512032,Katie Featherston,Tod Williams,91,Horror,174512032
3000000,2807390,Jane Adams,Todd Solondz,139,Comedy,-192610
3000000,19472057,Thom Mathews,Tom McLoughlin,86,Horror,16472057
3000000,3387000,Maria Bello,Will Canon,83,Thriller,387000
3000000,22000,Lauren German,Xavier Gens,112,Science Fiction,-2978000
3200000,10000000,Jim Carrey,Howard Storm,94,Horror,6800000
3200000,8000000,John Wayne,John Ford,123,Western,4800000
3200000,5332926,Ewan McGregor,Mike Mills,105,Drama,2132926
3200000,33395426,Mia Farrow,Roman Polanski,136,Horror,30195426
3300000,13993093,Miles Teller,Damien Chazelle,105,Drama,10693093
3300000,64110728,Olivia Wilde,David Gelb,83,Thriller,60810728
3352254,58831997,Steve McQueen,Sam Peckinpah,118,Action,55479743
3400000,9444018,Josh Stewart,Marcus Dunstan,88,Horror,6044018
3400000,31063038,Mel Brooks,Mel Brooks,94,Comedy,27663038
3500000,27900000,Tyrin Turner,Albert Hughes,97,Drama,24400000
3500000,12600000,Jon Finch,Alfred Hitchcock,116,Crime,9100000
3500000,2000000,Marlon Brando,Charles Chaplin,120,Comedy,-1500000
3500000,54947,Asia Argento,Dario Argento,102,Horror,-3445053
3500000,5231128,David Boreanaz,Dave Bullock,75,Action,1731128
3500000,9482579,Edward Burns,Edward Burns,96,Comedy,5982579
3500000,28215918,Ice Cube,F. Gary Gray,91,Comedy,24715918
3500000,34000000,Lori Cardille,George A. Romero,102,Horror,30500000
3500000,20659423,Tom Burlinson,George T. Miller,104,Drama,17159423
3500000,124900000,Sean Connery,Guy Hamilton,110,Adventure,121400000
3500000,19504039,Kevin Spacey,J.C. Chandor,107,Thriller,16004039
3500000,2341309,Robert Patrick,James Yukich,89,Action,-1158691
3500000,5155325,Michelle Monaghan,Jay Oliva,79,Animation,1655325
3500000,1115493,Julia Ormond,Jennifer Chambers Lynch,97,Thriller,-2384507
3500000,83453539,Robert Hays,Jim Abrahams,88,Comedy,79953539
3500000,237113184,John Travolta,John Badham,118,Drama,233613184
3500000,14000000,George Kennedy,Michael Gornick,92,Horror,10500000
3500000,7700000,Ben Stein,Nathan Frankowski,90,Documentary,4200000
3500000,257850122,Robert Carlyle,Peter Cattaneo,91,Comedy,254350122
3500000,44462,Woody Harrelson,Peter Stebbings,101,Drama,-3455538
3500000,24046533,Donald Sutherland,Philip Kaufman,115,Horror,20546533
3500000,81600000,Donald Sutherland,Robert Altman,116,Comedy,78100000
3500000,40423945,Anya Taylor-Joy,Robert Eggers,92,Mystery,36923945
3500000,16000000,Patrick Wayne,Sam Wanamaker,113,Action,12500000
3500000,25174316,Keri Russell,Scott Stewart,97,Science Fiction,21674316
3500159,76578641,Parminder Nagra,Gurinder Chadha,112,Comedy,73078482
3600000,44785053,Dustin Hoffman,John Schlesinger,113,Drama,41185053
3600000,49800000,Nicolas Cage,Mike Figgis,112,Drama,46200000
3600000,5923044,Bruce Campbell,Sam Raimi,84,Horror,2323044
3700000,31800000,Clint Eastwood,Clint Eastwood,135,Drama,28100000
3700000,3338228,Jim Caviezel,Simon Brand,98,Crime,-361772
